,Kevin Ford,Jeremy Tyson,Anil  Hirani,Sheldon Katz H.,Pierre Albin,Nathan M.  Dunfield,Alexandr  Kostochka,Rinat Kedem,Renming Song,Christopher  Dodd,Iwan M. Duursma,Randy McCarthy,Charles  Rezk,Rui Loja Fernandes,Igor Mineyev,Sankar P. Dutta,Alexander  Yong,Susan Tolman,M. Burak  Erdoğan,Marius Junge,Vera Mikyoung Hur,Vesna Stojanoska,Scott  Ahlgren,Steven  Bradlow,Zoi Rapti,Richard B. Sowers,Jozsef Balogh,Denka  Kutzarova,Alexandru Zaharescu,Gabriele La Nave,Matthew Ando,Daniel Berwick-Evans,Lee DeVille,Florin P. Boca,Jesse Thorner,Vadim Zharnitsky,Eugene M.  Lerman,Bruce  Reznick,Partha Sarathi Dey,Aimo  Hinkkanen,Igor G. Nikolaev,James Pascaleff,Jared  Bronski,Runhuan Feng,William  Haboush,Yuliy Baryshnikov,Eduard-Wilhelm Kirr,Timur Oikhberg,Felix Leditzky,Kay  Kirkpatrick,Xiaochen Jing,Nikolaos Tzirakis,Ely Kerman,Philippe Di Francesco,Richard S. Laugesen,Jeremiah  Heller,Rosemary Guzman
Kevin Ford,0.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0
Jeremy Tyson,3.0,0.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0
Anil  Hirani,4.0,4.0,0.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,6.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,2.0,3.0,5.0,5.0,4.0,6.0,2.0,5.0,5.0,4.0,6.0,4.0
Sheldon Katz H.,4.0,3.0,4.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,6.0,4.0,4.0,3.0,4.0,4.0,4.0
Pierre Albin,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,6.0,2.0,4.0,4.0,3.0,5.0,5.0
Nathan M.  Dunfield,4.0,4.0,1.0,3.0,4.0,0.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,6.0,3.0,4.0,4.0,4.0,5.0,3.0
Alexandr  Kostochka,3.0,3.0,3.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,5.0
Rinat Kedem,4.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,6.0,5.0,2.0,1.0,5.0,5.0,6.0
Renming Song,4.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,0.0,5.0,4.0,6.0,5.0,4.0,5.0,6.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,6.0,6.0
Christopher  Dodd,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,6.0
Iwan M. Duursma,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,0.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,6.0,5.0,2.0,4.0,4.0,4.0,5.0
Randy McCarthy,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,0.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,2.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0
