,"Ford, Kevin B.","Tyson, Jeremy T.","Hirani, Anil N.","Katz, Sheldon H.","Albin, Pierre","Dunfield, Nathan M.","Kostochka, Alexandr V.","Kedem, Rinat","Song, Renming","Dodd, Christopher","Duursma, Iwan Maynard","McCarthy, Randy","Rezk, Charles W.","Fernandes, Rui Loja","Mineyev, Igor","Dutta, Sankar Prasad","Yong, Alexander T. F.","Tolman, Susan","Erdoğan, Mehmet Burak","Junge, Marius","Hur, Vera Mikyoung","Stojanoska, Vesna","Ahlgren, Scott D.","Bradlow, Steven Benjamin","Rapti, Zoi","Sowers, Richard B.","Balogh, József","Kutzarova, Denka N.","Zaharescu, Alexandru","La Nave, Gabriele","Berwick-Evans, Daniel","DeVille, R. E. Lee","Boca, Florin-Petre","Thorner, Jesse","Zharnitsky, Vadim","Lerman, Eugene M.","Reznick, Bruce","Dey, Partha Sarathi","Hinkkanen, Aimo","Nikolaev, Igor G.","Pascaleff, James Thomas","Bronski, Jared C.","Feng, Runhuan","Haboush, William J.","Baryshnikov, Yuliy M.","Kirr, Eduard","Oikhberg, Timur","Leditzky, Felix","Kirkpatrick, Kay Lene","Tzirakis, Nikolaos","Kerman, Ely","Di Francesco, Philippe","Laugesen, Richard Snyder","Heller, Jeremiah Ben","Guzman, Rosemary K.","Jing, Xiaochen","Liu, Yuan","Quan, Zhiyu","Fadina, Tolulope","Rasmussen, Jacob","Rasmussen, Sarah Dean","Janda, Felix","Cooney, Daniel B","Hung, Pei-Ken","Young, Amanda","Wu, Xuan"
"Ford, Kevin B.",886.0,3.0,0.0,0.0,0.0,4.0,10.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,19.0,48.0,195.0,0.0,0.0,1.0,20.0,47.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"Tyson, Jeremy T.",3.0,842.0,1.0,0.0,7.0,2.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,4.0,11.0,0.0,1.0,2.0,9.0,12.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,5.0,0.0,0.0,0.0,3.0,0.0,4.0,8.0,11.0,1.0,26.0,5.0,0.0,3.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
"Hirani, Anil N.",0.0,1.0,213.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Katz, Sheldon H.",0.0,0.0,0.0,674.0,1.0,4.0,0.0,1.0,0.0,5.0,3.0,2.0,1.0,2.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,24.0,0.0,0.0,0.0,2.0
"Albin, Pierre",0.0,7.0,2.0,1.0,601.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,9.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,6.0,7.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0
"Dunfield, Nathan M.",4.0,2.0,3.0,4.0,8.0,682.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,7.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,1.0,3.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,69.0,24.0,2.0,0.0,1.0,0.0,0.0
"Kostochka, Alexandr V.",10.0,0.0,1.0,0.0,0.0,3.0,1330.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kedem, Rinat",0.0,0.0,0.0,1.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
"Song, Renming",3.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,1301.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,7.0,0.0,0.0,0.0,2.0,19.0,2.0,1.0,4.0,2.0,0.0,9.0,3.0,0.0,2.0,0.0,1.0,10.0,2.0,0.0,0.0,4.0,18.0,0.0,9.0,5.0,5.0,2.0,6.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0
"Dodd, Christopher",0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,150.0,2.0,1.0,1.0,2.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
